trade_idx,mode,param,old,new,reason,sample_size,recent_pnl,recent_expectancy,recent_win_rate,recent_drawdown,deadband,direction,explain
123,B,min_score,6.0,0.0,RECOVER,10,1402.0,140.2,0.4,-92.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
125,B,session_cap,3.0,4.0,RECOVER,10,1387.0,138.7,0.4,-83.0,40.0,risk_up,Streak over -> cap back to default.
128,B,size_mult,1.0,1.25,HOT,10,1562.0,156.2,0.5,-195.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $156) -> cranks heat UP (this is the hunting behavior).
132,B,session_cap,4.0,3.0,STREAK,10,417.0,41.7,0.3,-195.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
133,B,min_score,0.0,6.0,WR_LOW,10,259.0,25.9,0.2,-195.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
135,B,size_mult,1.25,1.0,EXP_NEG,10,-174.0,-17.4,0.1,-297.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-17 vs base $63, band $40) -> turn heat down."
137,B,session_cap,3.0,4.0,RECOVER,10,133.0,13.3,0.2,-326.0,40.0,risk_up,Streak over -> cap back to default.
138,B,min_score,6.0,7.0,WR_LOW,10,-281.0,-28.1,0.1,-314.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
144,B,size_mult,1.0,1.25,HOT,10,2475.0,247.5,0.4,-115.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $248) -> cranks heat UP (this is the hunting behavior).
144,B,min_score,7.0,6.0,RECOVER,10,2475.0,247.5,0.4,-115.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
149,B,size_mult,1.25,1.5,HOT,10,4024.0,402.4,0.4,-108.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $402) -> cranks heat UP (this is the hunting behavior).
149,B,min_score,6.0,0.0,RECOVER,10,4024.0,402.4,0.4,-108.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
154,B,min_score,0.0,6.0,WR_LOW,10,1408.0,140.8,0.2,-184.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
154,B,session_cap,4.0,3.0,STREAK,10,1408.0,140.8,0.2,-184.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
159,B,min_score,6.0,7.0,WR_LOW,10,170.0,17.0,0.2,-207.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
161,B,session_cap,3.0,4.0,RECOVER,10,1029.0,102.9,0.2,-92.0,40.0,risk_up,Streak over -> cap back to default.
164,B,min_score,7.0,8.0,WR_LOW,10,1054.0,105.4,0.2,-61.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
166,B,session_cap,4.0,3.0,STREAK,10,1009.0,100.9,0.2,-124.0,40.0,risk_down,5 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
171,B,size_mult,1.5,1.25,EXP_NEG,10,-32.0,-3.2,0.1,-112.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-3 vs base $79, band $40) -> turn heat down."
171,B,session_cap,3.0,2.0,STREAK,10,-32.0,-3.2,0.1,-112.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
175,B,min_score,8.0,7.0,RECOVER,10,908.0,90.8,0.4,-47.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
178,B,session_cap,2.0,3.0,RECOVER,10,870.0,87.0,0.4,-177.0,40.0,risk_up,Streak over -> cap back to default.
180,B,min_score,7.0,6.0,RECOVER,10,870.0,87.0,0.4,-177.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
183,B,session_cap,3.0,2.0,STREAK,10,519.0,51.9,0.3,-177.0,40.0,risk_down,5 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
185,B,min_score,6.0,7.0,WR_LOW,10,425.0,42.5,0.2,-126.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
190,B,session_cap,2.0,3.0,RECOVER,10,681.0,68.1,0.3,-195.0,40.0,risk_up,Streak over -> cap back to default.
197,B,session_cap,3.0,4.0,RECOVER,10,901.0,90.1,0.3,-183.0,40.0,risk_up,Streak over -> cap back to default.
200,B,size_mult,1.25,1.5,HOT,10,3449.0,344.9,0.3,-35.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $345) -> cranks heat UP (this is the hunting behavior).
205,B,min_score,7.0,6.0,RECOVER,10,3451.0,345.1,0.4,-178.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
209,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,3065.0,306.5,0.5,-178.0,40.0,risk_down,Day P&L $-268 below -200.0 -> half size for the rest of today.
210,B,min_score,6.0,0.0,RECOVER,10,384.0,38.4,0.4,-180.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
216,B,session_cap,4.0,3.0,STREAK,10,687.0,68.7,0.3,-214.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
217,B,min_score,0.0,6.0,WR_LOW,10,558.0,55.8,0.2,-214.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
222,B,size_mult,1.5,1.25,EXP_NEG,10,-19.0,-1.9,0.1,-116.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-2 vs base $88, band $40) -> turn heat down."
222,B,min_score,6.0,7.0,WR_LOW,10,-19.0,-1.9,0.1,-116.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
222,B,session_cap,3.0,2.0,STREAK,10,-19.0,-1.9,0.1,-116.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
227,B,min_score,7.0,6.0,RECOVER,10,725.0,72.5,0.4,-116.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
227,B,session_cap,2.0,3.0,RECOVER,10,725.0,72.5,0.4,-116.0,40.0,risk_up,Streak over -> cap back to default.
232,B,min_score,6.0,0.0,RECOVER,10,598.0,59.8,0.4,-97.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
235,B,size_mult,1.25,1.0,EXP_NEG,10,-70.0,-7.0,0.2,-184.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-7 vs base $85, band $40) -> turn heat down."
235,B,session_cap,3.0,2.0,STREAK,10,-70.0,-7.0,0.2,-184.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
237,B,min_score,0.0,6.0,WR_LOW,10,-213.0,-21.3,0.1,-164.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
240,B,size_mult,1.0,0.75,EXP_NEG,10,-163.0,-16.3,0.1,-211.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-16 vs base $83, band $40) -> turn heat down."
241,B,session_cap,2.0,3.0,RECOVER,10,-73.0,-7.3,0.1,-199.0,40.0,risk_up,Streak over -> cap back to default.
242,B,min_score,6.0,7.0,WR_LOW,10,-73.0,-7.3,0.1,-165.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
245,B,size_mult,0.75,0.5,EXP_NEG,10,-54.0,-5.4,0.1,-117.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-5 vs base $81, band $40) -> turn heat down."
246,B,session_cap,3.0,2.0,STREAK,10,-74.0,-7.4,0.1,-154.0,40.0,risk_down,5 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
247,B,min_score,7.0,8.0,WR_LOW,10,445.0,44.5,0.2,-154.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
250,B,size_mult,0.5,0.75,RECOVER,10,700.0,70.0,0.3,-154.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
255,B,size_mult,0.75,1.0,RECOVER,10,433.0,43.3,0.2,-245.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
256,B,session_cap,2.0,3.0,RECOVER,10,651.0,65.1,0.3,-245.0,40.0,risk_up,Streak over -> cap back to default.
257,B,cooldown_skips,0.0,2.0,DD,10,-211.0,-21.1,0.2,-419.0,40.0,risk_down,"Rolling drawdown $-419 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
260,B,size_mult,1.0,0.75,EXP_NEG,10,-625.0,-62.5,0.1,-561.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-62 vs base $77, band $40) -> turn heat down."
261,B,session_cap,3.0,2.0,STREAK,10,-475.0,-47.5,0.1,-584.0,40.0,risk_down,5 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
262,B,cooldown_skips,0.0,2.0,DD,10,70.0,7.0,0.2,-584.0,40.0,risk_down,"Rolling drawdown $-584 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
266,B,size_mult,0.75,1.0,RECOVER,10,249.0,24.9,0.2,-229.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
266,B,session_cap,2.0,3.0,RECOVER,10,249.0,24.9,0.2,-229.0,40.0,risk_up,Streak over -> cap back to default.
272,B,session_cap,3.0,2.0,STREAK,10,578.0,57.8,0.2,-77.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
278,B,session_cap,2.0,3.0,RECOVER,10,464.0,46.4,0.3,-64.0,40.0,risk_up,Streak over -> cap back to default.
282,B,min_score,8.0,7.0,RECOVER,10,474.0,47.4,0.4,-205.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
283,B,cooldown_skips,0.0,2.0,DD,10,6.0,0.6,0.4,-548.0,40.0,risk_down,"Rolling drawdown $-548 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
283,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,6.0,0.6,0.4,-548.0,40.0,risk_down,Day P&L $-482 below -200.0 -> half size for the rest of today.
284,B,size_mult,1.0,0.75,EXP_NEG,10,-30.0,-3.0,0.4,-548.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-3 vs base $75, band $40) -> turn heat down."
284,B,session_cap,3.0,4.0,RECOVER,10,-30.0,-3.0,0.4,-548.0,40.0,risk_up,Streak over -> cap back to default.
287,B,min_score,7.0,6.0,RECOVER,10,156.0,15.6,0.4,-548.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
288,B,cooldown_skips,0.0,2.0,DD,10,6.0,0.6,0.3,-482.0,40.0,risk_down,"Rolling drawdown $-482 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
289,B,size_mult,0.75,1.0,RECOVER,10,74.0,7.4,0.3,-482.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
295,B,min_score,6.0,0.0,RECOVER,10,554.0,55.4,0.4,-83.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
308,B,session_cap,4.0,3.0,STREAK,10,801.0,80.1,0.4,-175.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
313,B,min_score,0.0,6.0,WR_LOW,10,333.0,33.3,0.2,-107.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
314,B,size_mult,1.0,0.75,EXP_NEG,10,-39.0,-3.9,0.1,-95.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-4 vs base $72, band $40) -> turn heat down."
315,B,session_cap,3.0,4.0,RECOVER,10,111.0,11.1,0.2,-88.0,40.0,risk_up,Streak over -> cap back to default.
319,B,size_mult,0.75,0.5,EXP_NEG,10,-141.0,-14.1,0.3,-425.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-14 vs base $71, band $40) -> turn heat down."
319,B,cooldown_skips,0.0,2.0,DD,10,-141.0,-14.1,0.3,-425.0,40.0,risk_down,"Rolling drawdown $-425 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
319,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,-141.0,-14.1,0.3,-425.0,40.0,risk_down,Day P&L $-293 below -200.0 -> half size for the rest of today.
321,B,min_score,6.0,0.0,RECOVER,10,4.0,0.4,0.4,-455.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
322,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,-596.0,-59.6,0.3,-761.0,40.0,risk_down,Day P&L $-204 below -200.0 -> half size for the rest of today.
324,B,cooldown_skips,0.0,2.0,DD,10,-548.0,-54.8,0.3,-802.0,40.0,risk_down,"Rolling drawdown $-802 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
325,B,session_cap,4.0,3.0,STREAK,10,-746.0,-74.6,0.2,-861.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
326,B,min_score,0.0,6.0,WR_LOW,10,-746.0,-74.6,0.2,-872.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
329,B,cooldown_skips,0.0,2.0,DD,10,39.0,3.9,0.3,-556.0,40.0,risk_down,"Rolling drawdown $-556 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
331,B,session_cap,3.0,4.0,RECOVER,10,-132.0,-13.2,0.3,-112.0,40.0,risk_up,Streak over -> cap back to default.
332,B,size_mult,0.5,0.75,RECOVER,10,300.0,30.0,0.3,-100.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
333,B,min_score,6.0,0.0,RECOVER,10,450.0,45.0,0.4,-93.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
337,B,size_mult,0.75,1.0,HOT,10,2219.0,221.9,0.5,-93.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $222) -> cranks heat UP (this is the hunting behavior).
342,B,size_mult,1.0,1.25,HOT,10,3346.0,334.6,0.5,-54.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $335) -> cranks heat UP (this is the hunting behavior).
345,B,session_cap,4.0,3.0,STREAK,10,2018.0,201.8,0.3,-111.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
347,B,size_mult,1.25,1.5,HOT,10,2225.0,222.5,0.3,-153.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $223) -> cranks heat UP (this is the hunting behavior).
351,B,min_score,0.0,6.0,WR_LOW,10,1138.0,113.8,0.2,-129.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
353,B,session_cap,3.0,2.0,STREAK,10,1150.0,115.0,0.2,-106.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
356,B,min_score,6.0,7.0,WR_LOW,10,1165.0,116.5,0.2,-199.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
357,B,size_mult,1.5,1.25,EXP_NEG,10,-30.0,-3.0,0.1,-302.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-3 vs base $75, band $40) -> turn heat down."
358,B,session_cap,2.0,3.0,RECOVER,10,205.0,20.5,0.2,-302.0,40.0,risk_up,Streak over -> cap back to default.
361,B,cooldown_skips,0.0,2.0,DD,10,-466.0,-46.6,0.1,-454.0,40.0,risk_down,"Rolling drawdown $-454 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
361,B,min_score,7.0,8.0,WR_LOW,10,-466.0,-46.6,0.1,-454.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
361,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,-466.0,-46.6,0.1,-454.0,40.0,risk_down,Day P&L $-508 below -200.0 -> half size for the rest of today.
362,B,size_mult,1.25,1.0,EXP_NEG,10,-477.0,-47.7,0.1,-465.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-48 vs base $73, band $40) -> turn heat down."
363,B,session_cap,3.0,2.0,STREAK,10,-477.0,-47.7,0.1,-472.0,40.0,risk_down,5 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
366,B,cooldown_skips,0.0,2.0,DD,10,55.0,5.5,0.2,-472.0,40.0,risk_down,"Rolling drawdown $-472 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
368,B,size_mult,1.0,1.25,HOT,10,2863.0,286.3,0.3,-460.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $286) -> cranks heat UP (this is the hunting behavior).
368,B,session_cap,2.0,3.0,RECOVER,10,2863.0,286.3,0.3,-460.0,40.0,risk_up,Streak over -> cap back to default.
370,B,min_score,8.0,7.0,RECOVER,10,3489.0,348.9,0.4,-158.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
373,B,size_mult,1.25,1.5,HOT,10,4229.0,422.9,0.5,-158.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $423) -> cranks heat UP (this is the hunting behavior).
373,B,session_cap,3.0,4.0,RECOVER,10,4229.0,422.9,0.5,-158.0,40.0,risk_up,Streak over -> cap back to default.
375,B,min_score,7.0,6.0,RECOVER,10,3604.0,360.4,0.4,-128.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
379,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,1747.0,174.7,0.4,-183.0,40.0,risk_down,Day P&L $-290 below -200.0 -> half size for the rest of today.
381,B,min_score,6.0,0.0,RECOVER,10,1625.0,162.5,0.4,-318.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
394,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,6822.0,682.2,0.7,-183.0,40.0,risk_down,Day P&L $-290 below -200.0 -> half size for the rest of today.
397,B,session_cap,4.0,3.0,STREAK,10,5214.0,521.4,0.5,-353.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
398,B,cooldown_skips,0.0,2.0,DD,10,2600.0,260.0,0.4,-423.0,40.0,risk_down,"Rolling drawdown $-423 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
398,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,2600.0,260.0,0.4,-423.0,40.0,risk_down,Day P&L $-257 below -200.0 -> half size for the rest of today.
402,B,min_score,0.0,6.0,WR_LOW,10,277.0,27.7,0.2,-514.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
402,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,277.0,27.7,0.2,-514.0,40.0,risk_down,Day P&L $-290 below -200.0 -> half size for the rest of today.
403,B,size_mult,1.5,1.25,EXP_NEG,10,-403.0,-40.3,0.1,-331.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-40 vs base $97, band $40) -> turn heat down."
404,B,session_cap,3.0,4.0,RECOVER,10,-51.0,-5.1,0.2,-287.0,40.0,risk_up,Streak over -> cap back to default.
410,B,size_mult,1.25,1.0,EXP_NEG,10,-17.0,-1.7,0.2,-367.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-2 vs base $96, band $40) -> turn heat down."
410,B,min_score,6.0,7.0,WR_LOW,10,-17.0,-1.7,0.2,-367.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
410,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,-17.0,-1.7,0.2,-367.0,40.0,risk_down,Day P&L $-232 below -200.0 -> half size for the rest of today.
411,B,cooldown_skips,0.0,2.0,DD,10,-174.0,-17.4,0.2,-535.0,40.0,risk_down,"Rolling drawdown $-535 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
411,B,session_cap,4.0,3.0,STREAK,10,-174.0,-17.4,0.2,-535.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
415,B,size_mult,1.0,0.75,EXP_NEG,10,-170.0,-17.0,0.1,-720.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-17 vs base $94, band $40) -> turn heat down."
415,B,min_score,7.0,8.0,WR_LOW,10,-170.0,-17.0,0.1,-720.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
416,B,cooldown_skips,0.0,2.0,DD,10,-341.0,-34.1,0.1,-903.0,40.0,risk_down,"Rolling drawdown $-903 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
